1_ortho,2_phon,18_p_cvcv,24_nbsyll
aboieront,abwaR§,VCYVCV,3
aboies,abwa,VCYV,2
abois,abwa,VCYV,2
aboli,aboli,VCVCV,3
aboli,aboli,VCVCV,3
abolie,aboli,VCVCV,3
abolie,aboli,VCVCV,3
abolies,aboli,VCVCV,3
abolies,aboli,VCVCV,3
abolir,aboliR,VCVCVC,3
abolira,aboliRa,VCVCVCV,4
abolirait,aboliRE,VCVCVCV,4
aboliras,aboliRa,VCVCVCV,4
abolis,aboli,VCVCV,3
abolis,aboli,VCVCV,3
abolissaient,abolisE,VCVCVCV,4
abolissais,abolisE,VCVCVCV,4
abolissait,abolisE,VCVCVCV,4
abolissant,abolis@,VCVCVCV,4
abolissent,abolis,VCVCVC,3
abolissions,abolisj§,VCVCVCYV,4
abolissons,abolis§,VCVCVCV,4
abolit,aboli,VCVCV,3
abolition,abolisj§,VCVCVCYV,4
abolitionniste,abolisjonist,VCVCVCYVCVCC,5
abolitionniste,abolisjonist,VCVCVCYVCVCC,5
abolitionnistes,abolisjonist,VCVCVCYVCVCC,5
abolitionnistes,abolisjonist,VCVCVCYVCVCC,5
abominable,abominabl,VCVCVCVCC,4
abominablement,abominabl°m@,VCVCVCVCCVCV,6
abominables,abominabl,VCVCVCVCC,4
abominaient,abominE,VCVCVCV,4
abomination,abominasj§,VCVCVCVCYV,5
abominations,abominasj§,VCVCVCVCYV,5
abomine,abomin,VCVCVC,3
abominer,abomine,VCVCVCV,4
abonda,ab§da,VCVCV,3
abondai,ab§dE,VCVCV,3
abondaient,ab§dE,VCVCV,3
abondais,ab§dE,VCVCV,3
abondait,ab§dE,VCVCV,3
abondamment,ab§dam@,VCVCVCV,4
abondance,ab§d@s,VCVCVC,3
abondant,ab§d@,VCVCV,3
abondant,ab§d@,VCVCV,3
abondante,ab§d@t,VCVCVC,3
abondantes,ab§d@t,VCVCVC,3
abondants,ab§d@,VCVCV,3
abondassent,ab§das,VCVCVC,3
abonde,ab§d,VCVC,2
abondent,ab§d,VCVC,2
abonder,ab§de,VCVCV,3
abondé,ab§de,VCVCV,3
abonnai,abonE,VCVCV,3
abonnant,abOn@,VCVCV,3
abonne,abOn,VCVC,2
abonnement,abOn°m@,VCVCVCV,4
abonnements,abOn°m@,VCVCVCV,4
abonner,abone,VCVCV,3
abonnez,abone,VCVCV,3
abonnât,abona,VCVCV,3
abonné,abone,VCVCV,3
abonné,abone,VCVCV,3
abonné,abone,VCVCV,3
abonnée,abone,VCVCV,3
abonnée,abone,VCVCV,3
abonnée,abone,VCVCV,3
abonnées,abone,VCVCV,3
abonnées,abone,VCVCV,3
abonnés,abone,VCVCV,3
abonnés,abone,VCVCV,3
abonnés,abone,VCVCV,3
abord,abOR,VCVC,2
aborda,abORda,VCVCCV,3
abordable,abORdabl,VCVCCVCC,3
abordables,abORdabl,VCVCCVCC,3
abordage,abORdaZ,VCVCCVC,3
abordages,abORdaZ,VCVCCVC,3
abordai,abORdE,VCVCCV,3
abordaient,abORdE,VCVCCV,3
abordais,abORdE,VCVCCV,3
abordait,abORdE,VCVCCV,3
abordant,abORd@,VCVCCV,3
aborde,abORd,VCVCC,2
abordent,abORd,VCVCC,2
aborder,abORde,VCVCCV,3
abordera,abORd°Ra,VCVCCVCV,4
aborderai,abORd°RE,VCVCCVCV,4
aborderaient,abORd°RE,VCVCCVCV,4
aborderais,abORd°RE,VCVCCVCV,4
aborderait,abORd°RE,VCVCCVCV,4
aborderiez,abORd°Rje,VCVCCVCYV,4
aborderions,abORd°Rj§,VCVCCVCYV,4
aborderons,abORd°R§,VCVCCVCV,4
aborderont,abORd°R§,VCVCCVCV,4
abordes,abORd,VCVCC,2
abordez,abORde,VCVCCV,3
abordiez,abORdje,VCVCCYV,3
abordions,abORdj§,VCVCCYV,3
abordons,abORd§,VCVCCV,3
abords,abOR,VCVC,2
abordâmes,abORdam,VCVCCVC,3
abordèrent,abORdER,VCVCCVC,3
abordé,abORde,VCVCCV,3
abordé,abORde,VCVCCV,3
abordée,abORde,VCVCCV,3
abordées,abORde,VCVCCV,3
abordées,abORde,VCVCCV,3
abordés,abORde,VCVCCV,3
abordés,abORde,VCVCCV,3
aborigène,aboRiZEn,VCVCVCVC,4
aborigène,aboRiZEn,VCVCVCVC,4
aborigènes,aboRiZEn,VCVCVCVC,4
aborigènes,aboRiZEn,VCVCVCVC,4
abornement,abORn°m@,VCVCCVCV,4
abortif,abORtif,VCVCCVC,3
abortive,abORtiv,VCVCCVC,3
abortives,abORtiv,VCVCCVC,3
abouchaient,abuSE,VCVCV,3
abouchais,abuSE,VCVCV,3
abouchait,abuSE,VCVCV,3
abouchant,abuS@,VCVCV,3
abouchements,abuS°m@,VCVCVCV,4
aboucher,abuSe,VCVCV,3
abouché,abuSe,VCVCV,3
abouchée,abuSe,VCVCV,3
abouchés,abuSe,VCVCV,3
aboule,abul,VCVC,2
abouler,abule,VCVCV,3
aboules,abul,VCVC,2
aboulez,abule,VCVCV,3
aboulie,abuli,VCVCV,3
aboulique,abulik,VCVCVC,3
abouliques,abulik,VCVCVC,3
abounas,abuna,VCVCV,3
about,abu,VCV,2
aboutait,abutE,VCVCV,3
abouti,abuti,VCVCV,3
abouti,abuti,VCVCV,3
aboutie,abuti,VCVCV,3
aboutie,abuti,VCVCV,3
aboutir,abutiR,VCVCVC,3
aboutira,abutiRa,VCVCVCV,4
aboutirai,abutiRE,VCVCVCV,4
aboutiraient,abutiRE,VCVCVCV,4
aboutirais,abutiRE,VCVCVCV,4
aboutirait,abutiRE,VCVCVCV,4
aboutiras,abutiRa,VCVCVCV,4
aboutirent,abutiR,VCVCVC,3
aboutirons,abutiR§,VCVCVCV,4
aboutiront,abutiR§,VCVCVCV,4
aboutis,abuti,VCVCV,3
aboutis,abuti,VCVCV,3
aboutissaient,abutisE,VCVCVCV,4
aboutissait,abutisE,VCVCVCV,4
aboutissant,abutis@,VCVCVCV,4
aboutissant,abutis@,VCVCVCV,4
aboutissants,abutis@,VCVCVCV,4
aboutisse,abutis,VCVCVC,3
aboutissement,abutis°m@,VCVCVCVCV,5
aboutissent,abutis,VCVCVC,3
aboutissez,abutise,VCVCVCV,4
aboutissiez,abutisje,VCVCVCYV,4
aboutissions,abutisj§,VCVCVCYV,4
aboutit,abuti,VCVCV,3
aboutonnai,abutonE,VCVCVCV,4
aboutons,abut§,VCVCV,3
aboutîmes,abutim,VCVCVC,3
aboya,abwaja,VCYVYV,3
aboyaient,abwajE,VCYVYV,3
aboyait,abwajE,VCYVYV,3
aboyant,abwaj@,VCYVYV,3
aboyant,abwaj@,VCYVYV,3
aboyante,abwaj@t,VCYVYVC,3
aboyer,abwaje,VCYVYV,3
aboyeur,abwaj9R,VCYVYVC,3
aboyeur,abwaj9R,VCYVYVC,3
aboyeurs,abwaj9R,VCYVYVC,3
aboyeurs,abwaj9R,VCYVYVC,3
aboyons,abwaj§,VCYVYV,3
aboyèrent,abwajER,VCYVYVC,3
aboyé,abwaje,VCYVYV,3
abracadabra,abRakadabRa,VCCVCVCVCCV,5
abracadabrant,abRakadabR@,VCCVCVCVCCV,5
abracadabrante,abRakadabR@t,VCCVCVCVCCVC,5
abracadabrantes,abRakadabR@t,VCCVCVCVCCVC,5
abracadabrants,abRakadabR@,VCCVCVCVCCV,5
abracadabré,abRakadabRe,VCCVCVCVCCV,5
abrasif,abRazif,VCCVCVC,3
abrasif,abRazif,VCCVCVC,3
abrasifs,abRazif,VCCVCVC,3
abrasifs,abRazif,VCCVCVC,3
abrasion,abRazj§,VCCVCYV,3
abrasive,abRaziv,VCCVCVC,3
abrasé,abRaze,VCCVCV,3
abraxas,abRaksas,VCCVCCVC,3
abreuva,abR9va,VCCVCV,3
abreuvage,abR9vaZ,VCCVCVC,3
abreuvaient,abR9vE,VCCVCV,3
abreuvait,abR9vE,VCCVCV,3
abreuvant,abR9v@,VCCVCV,3
abreuve,abR9v,VCCVC,2
abreuvent,abR9v,VCCVC,2
abreuver,abR9ve,VCCVCV,3
abreuvera,abR9v°Ra,VCCVCVCV,4
abreuveraient,abR9v°RE,VCCVCVCV,4
abreuvez,abR9ve,VCCVCV,3
abreuvoir,abR9vwaR,VCCVCYVC,3
abreuvoirs,abR9vwaR,VCCVCYVC,3
abreuvons,abR9v§,VCCVCV,3
abreuvé,abR9ve,VCCVCV,3
abreuvé,abR9ve,VCCVCV,3
abreuvée,abR9ve,VCCVCV,3
abreuvés,abR9ve,VCCVCV,3
abreuvés,abR9ve,VCCVCV,3
abri,abRi,VCCV,2
abri-refuge,abRiR°fyZ,VCCVCVCVC,4
abribus,abRibys,VCCVCVC,3
abricot,abRiko,VCCVCV,3
abricot,abRiko,VCCVCV,3
abricotez,abRikote,VCCVCVCV,4
abricotier,abRikotje,VCCVCVCYV,4
abricotiers,abRikotje,VCCVCVCYV,4
abricotine,abRikotin,VCCVCVCVC,4
abricots,abRiko,VCCVCV,3
abris,abRi,VCCV,2
abrita,abRita,VCCVCV,3
abritai,abRitE,VCCVCV,3
abritaient,abRitE,VCCVCV,3
abritais,abRitE,VCCVCV,3
abritait,abRitE,VCCVCV,3
abritant,abRit@,VCCVCV,3
abritant,abRit@,VCCVCV,3
abrite,abRit,VCCVC,2
abritent,abRit,VCCVC,2
abriter,abRite,VCCVCV,3
abritera,abRit°Ra,VCCVCVCV,4
abriterait,abRit°RE,VCCVCVCV,4
abriterons,abRit°R§,VCCVCVCV,4
abriteront,abRit°R§,VCCVCVCV,4
abrites,abRit,VCCVC,2
abritez,abRite,VCCVCV,3
abritiez,abRitje,VCCVCYV,3
abritions,abRitj§,VCCVCYV,3
abritons,abRit§,VCCVCV,3
abritâmes,abRitam,VCCVCVC,3
abritèrent,abRitER,VCCVCVC,3
abrité,abRite,VCCVCV,3
abrité,abRite,VCCVCV,3
abritée,abRite,VCCVCV,3
abritée,abRite,VCCVCV,3
abritées,abRite,VCCVCV,3
abrités,abRite,VCCVCV,3
abrités,abRite,VCCVCV,3
abrogation,abRogasj§,VCCVCVCYV,4
abrogent,abROZ,VCCVC,2
abroger,abRoZe,VCCVCV,3
abrogé,abRoZe,VCCVCV,3
abrogé,abRoZe,VCCVCV,3
abrogée,abRoZe,VCCVCV,3
abrogées,abRoZe,VCCVCV,3
abrogés,abRoZe,VCCVCV,3
abrupt,abRypt,VCCVCC,2
abrupt,abRypt,VCCVCC,2
abrupte,abRypt,VCCVCC,2
abruptement,abRypt°m@,VCCVCCVCV,4
abruptes,abRypt,VCCVCC,2
abrupts,abRypt,VCCVCC,2
abrupts,abRypt,VCCVCC,2
abruti,abRyti,VCCVCV,3
abruti,abRyti,VCCVCV,3
abruti,abRyti,VCCVCV,3
abrutie,abRyti,VCCVCV,3
abrutie,abRyti,VCCVCV,3
abrutie,abRyti,VCCVCV,3
abruties,abRyti,VCCVCV,3
abruties,abRyti,VCCVCV,3
abruties,abRyti,VCCVCV,3
abrutir,abRytiR,VCCVCVC,3
abrutira,abRytiRa,VCCVCVCV,4
abrutis,abRyti,VCCVCV,3
abrutis,abRyti,VCCVCV,3
abrutis,abRyti,VCCVCV,3
abrutissaient,abRytisE,VCCVCVCV,4
abrutissais,abRytisE,VCCVCVCV,4
abrutissait,abRytisE,VCCVCVCV,4
abrutissant,abRytis@,VCCVCVCV,4
abrutissant,abRytis@,VCCVCVCV,4
abrutissante,abRytis@t,VCCVCVCVC,4
abrutissantes,abRytis@t,VCCVCVCVC,4
abrutissants,abRytis@,VCCVCVCV,4
abrutissement,abRytis°m@,VCCVCVCVCV,5
abrutissent,abRytis,VCCVCVC,3
abrutisseur,abRytis9R,VCCVCVCVC,4
abrutissions,abRytisj§,VCCVCVCYV,4
abrutit,abRyti,VCCVCV,3
abrège,abREZ,VCCVC,2
abrègent,abREZ,VCCVC,2
abrégea,abReZa,VCCVCV,3
abrégeai,abReZE,VCCVCV,3
abrégeaient,abReZE,VCCVCV,3
abrégeait,abReZE,VCCVCV,3
abrégeant,abReZ@,VCCVCV,3
abrégeons,abReZ§,VCCVCV,3
abréger,abReZe,VCCVCV,3
abrégera,abReZ°Ra,VCCVCVCV,4
abrégerai,abReZ°RE,VCCVCVCV,4
abrégerait,abReZ°RE,VCCVCVCV,4
abrégez,abReZe,VCCVCV,3
abrégeât,abReZa,VCCVCV,3
abrégé,abReZe,VCCVCV,3
abrégé,abReZe,VCCVCV,3
abrégé,abReZe,VCCVCV,3
abrégée,abReZe,VCCVCV,3
abrégée,abReZe,VCCVCV,3
abrégés,abReZe,VCCVCV,3
abrégés,abReZe,VCCVCV,3
abréviatif,abRevjatif,VCCVCYVCVC,4
abréviation,abRevjasj§,VCCVCYVCYV,4
abréviations,abRevjasj§,VCCVCYVCYV,4
abscisse,apsis,VCCVC,2
abscission,apsisj§,VCCVCYV,3
abscons,apsk§,VCCCV,2
absconse,apsk§s,VCCCVC,2
absconses,apsk§s,VCCCVC,2
absence,aps@s,VCCVC,2
absences,aps@s,VCCVC,2
absent,aps@,VCCV,2
absent,aps@,VCCV,2
absenta,aps@ta,VCCVCV,3
absentai,aps@tE,VCCVCV,3
absentaient,aps@tE,VCCVCV,3
absentais,aps@tE,VCCVCV,3
absentait,aps@tE,VCCVCV,3
absentant,aps@t@,VCCVCV,3
absente,aps@t,VCCVC,2
absente,aps@t,VCCVC,2
absente,aps@t,VCCVC,2
absenter,aps@te,VCCVCV,3
absentera,aps@t°Ra,VCCVCVCV,4
absenterai,aps@t°RE,VCCVCVCV,4
absenterait,aps@t°RE,VCCVCVCV,4
absentes,aps@t,VCCVC,2
absentes,aps@t,VCCVC,2
absentes,aps@t,VCCVC,2
absents,aps@,VCCV,2
absents,aps@,VCCV,2
absentèrent,aps@tER,VCCVCVC,3
absenté,aps@te,VCCVCV,3
absentée,aps@te,VCCVCV,3
absentéisme,aps@teizm,VCCVCVVCC,4
absentéiste,aps@teist,VCCVCVVCC,4
absentéiste,aps@teist,VCCVCVVCC,4
absentés,aps@te,VCCVCV,3
abside,apsid,VCCVC,2
absides,apsid,VCCVC,2
absidiales,apsidjal,VCCVCYVC,3
absidiole,apsidjOl,VCCVCYVC,3
absinthant,aps5t@,VCCVCV,3
absinthe,aps5t,VCCVC,2
absolu,apsoly,VCCVCV,3
absolu,apsoly,VCCVCV,3
absolue,apsoly,VCCVCV,3
absolues,apsoly,VCCVCV,3
absolument,apsolym@,VCCVCVCV,4
absolus,apsoly,VCCVCV,3
absolus,apsoly,VCCVCV,3
absolution,apsolysj§,VCCVCVCYV,4
absolutisme,apsolytizm,VCCVCVCVCC,4
absolvaient,apsOlvE,VCCVCCV,3
absolvait,apsOlvE,VCCVCCV,3
absolvant,apsOlv@,VCCVCCV,3
absolve,apsOlv,VCCVCC,2
absolvent,apsOlv,VCCVCC,2
absolves,apsOlv,VCCVCC,2
absorba,apsORba,VCCVCCV,3
absorbables,apsORbabl,VCCVCCVCC,3
absorbai,apsORbE,VCCVCCV,3
absorbaient,apsORbE,VCCVCCV,3
absorbais,apsORbE,VCCVCCV,3
absorbait,apsORbE,VCCVCCV,3
absorbant,apsORb@,VCCVCCV,3
absorbant,apsORb@,VCCVCCV,3
absorbant,apsORb@,VCCVCCV,3
absorbante,apsORb@t,VCCVCCVC,3
absorbantes,apsORb@t,VCCVCCVC,3
absorbants,apsORb@,VCCVCCV,3
absorbe,apsORb,VCCVCC,2
absorbent,apsORb,VCCVCC,2
absorber,apsORbe,VCCVCCV,3
absorbera,apsORb°Ra,VCCVCCVCV,4
absorberai,apsORb°RE,VCCVCCVCV,4
absorberaient,apsORb°RE,VCCVCCVCV,4
absorberait,apsORb°RE,VCCVCCVCV,4
absorbeur,apsORb9R,VCCVCCVC,3
absorbez,apsORbe,VCCVCCV,3
absorbions,apsORbj§,VCCVCCYV,3
absorbons,apsORb§,VCCVCCV,3
absorbèrent,apsORbER,VCCVCCVC,3
absorbé,apsORbe,VCCVCCV,3
absorbé,apsORbe,VCCVCCV,3
absorbée,apsORbe,VCCVCCV,3
absorbée,apsORbe,VCCVCCV,3
absorbées,apsORbe,VCCVCCV,3
absorbées,apsORbe,VCCVCCV,3
absorbés,apsORbe,VCCVCCV,3
absorbés,apsORbe,VCCVCCV,3
absorption,apsORpsj§,VCCVCCCYV,3
absorptions,apsORpsj§,VCCVCCCYV,3
absoudrai,apsudRE,VCCVCCV,3
absoudrait,apsudRE,VCCVCCV,3
absoudre,apsudR,VCCVCC,2
absoudriez,apsudRije,VCCVCCVYV,4
absous,apsu,VCCV,2
absous,apsu,VCCV,2
absout,apsu,VCCV,2
absoute,apsut,VCCVC,2
absoute,apsut,VCCVC,2
absoute,apsut,VCCVC,2
absoutes,apsut,VCCVC,2
abstenaient,apst°nE,VCCCVCV,3
abstenais,apst°nE,VCCCVCV,3
abstenait,apst°nE,VCCCVCV,3
abstenant,apst°n@,VCCCVCV,3
abstenez,apst°ne,VCCCVCV,3
absteniez,apst°nje,VCCCVCYV,3
abstenions,apst°nj§,VCCCVCYV,3
abstenir,apst°niR,VCCCVCVC,3
abstenons,apst°n§,VCCCVCV,3
abstention,apst@sj§,VCCCVCYV,3
abstentionniste,apst@sjonist,VCCCVCYVCVCC,4
abstentionnistes,apst@sjonist,VCCCVCYVCVCC,4
abstenu,apst°ny,VCCCVCV,3
abstenue,apst°ny,VCCCVCV,3
abstenue,apst°ny,VCCCVCV,3
abstenues,apst°ny,VCCCVCV,3
abstenus,apst°ny,VCCCVCV,3
abstiendrai,apstj5dRE,VCCCYVCCV,3
abstiendraient,apstj5dRE,VCCCYVCCV,3
abstiendrais,apstj5dRE,VCCCYVCCV,3
abstiendrait,apstj5dRE,VCCCYVCCV,3
abstiendras,apstj5dRa,VCCCYVCCV,3
abstiendrions,apstj5dRj§,VCCCYVCCYV,3
abstiendrons,apstj5dR§,VCCCYVCCV,3
abstiendront,apstj5dR§,VCCCYVCCV,3
abstienne,apstjEn,VCCCYVC,2
abstiennent,apstjEn,VCCCYVC,2
abstiennes,apstjEn,VCCCYVC,2
abstiens,apstj5,VCCCYV,2
abstient,apstj5,VCCCYV,2
abstinence,apstin@s,VCCCVCVC,3
abstinences,apstin@s,VCCCVCVC,3
abstinent,apstin@,VCCCVCV,3
